timestamp,cpu_load,sys_ram,sys_sd,sys_volt,sys_curr,sys_pwr,sys_vbat,mcu_temp,gyro_temp,bat_v0,bat_i0,bat_ich0,bat_t0,bat_soc0,bat_v1,bat_i1,bat_ich1,bat_t1,bat_soc1,esc_i,serv_i1,serv_i2,eular_x,eular_y,eular_z,pressure,humidity,air_temp,servo1_ang,servo2_ang,esc_thr,gnss_lat,gnss_lon,gnss_speed,gnss_alt,gnss_course,gnss_sat
1646585571,0.00,0.000,0.000,2.501,0.1181,0.9466,2.9846,24.2,19.125,8.0409,-0.0687,-0.0005,0.0000,0.0000,7.9780,-0.0500,-0.0001,0.0000,0.0000,0.0020,0.0192,0.0178,5.62,1.99,-110.37,102364.70,33.38,21.937,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585572,0.00,0.000,0.000,2.502,0.1010,0.8095,2.9843,24.1,19.125,8.0410,-0.0609,-0.0000,0.0000,0.0000,7.9803,-0.0366,0.0035,0.0000,0.0000,0.0019,0.0188,0.0161,4.61,2.51,-110.83,102368.12,33.28,21.929,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585573,0.00,0.000,0.000,2.503,0.0954,0.7653,2.9833,24.0,19.375,8.0433,-0.0570,-0.0001,0.0000,0.0000,7.9812,-0.0377,0.0009,0.0000,0.0000,0.0013,0.0200,0.0164,5.01,2.31,-110.87,102364.92,33.19,21.920,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585575,0.00,0.000,0.000,2.502,0.0921,0.7382,2.9840,24.1,19.125,8.0424,-0.0555,-0.0007,0.0000,0.0000,7.9815,-0.0376,-0.0003,0.0000,0.0000,-0.0008,0.0209,0.0179,5.81,2.23,-110.90,102367.30,33.14,21.920,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585576,0.00,0.000,0.000,2.501,0.1039,0.8335,2.9828,24.2,19.125,8.0445,-0.0680,-0.0003,0.0000,0.0000,7.9791,-0.0352,0.0011,0.0000,0.0000,-0.0000,0.0189,0.0213,4.16,2.26,-110.99,102359.32,33.07,21.888,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585577,0.00,0.000,0.000,2.502,0.1139,0.9133,2.9824,24.0,19.125,8.0436,-0.0681,0.0000,0.0000,0.0000,7.9783,-0.0450,0.0007,0.0000,0.0000,-0.0009,0.0186,0.0180,4.91,2.28,-111.08,102361.34,32.99,21.915,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585578,0.00,0.000,0.000,2.502,0.0915,0.7337,2.9820,24.0,19.125,8.0423,-0.0535,-0.0001,0.0000,0.0000,7.9801,-0.0383,-0.0001,0.0000,0.0000,-0.0005,0.0200,0.0168,4.92,2.14,-111.20,102363.51,32.89,21.912,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585579,0.00,0.000,0.000,2.502,0.0787,0.6309,2.9837,24.0,19.125,8.0426,-0.0477,0.0004,0.0000,0.0000,7.9803,-0.0317,-0.0011,0.0000,0.0000,-0.0004,0.0192,0.0162,4.90,2.02,-111.19,102362.16,32.79,21.919,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585580,0.00,0.000,0.000,2.501,0.0766,0.6141,2.9846,23.9,19.000,8.0401,-0.0476,-0.0005,0.0000,0.0000,7.9795,-0.0304,-0.0008,0.0000,0.0000,-0.0013,0.0194,0.0181,4.60,1.78,-111.04,102364.09,32.71,21.877,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585581,0.00,0.000,0.000,2.502,0.0925,0.7416,2.9826,23.9,19.375,8.0416,-0.0541,-0.0000,0.0000,0.0000,7.9810,-0.0382,0.0003,0.0000,0.0000,-0.0007,0.0202,0.0180,4.61,1.86,-111.02,102366.71,32.63,21.902,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
